UNI_ID,PRICE,POLL_DIV_CO,OS_NM,VAN_ADR,NEW_ADR,GIS_X_COOR,GIS_Y_COOR,AREA_NM
A0012922,1619,SOL,주식회사 남산,충북 충주시 교현동 89-1,충북 충주시 금봉대로 352 (교현동),395500.00000,484960.00000,충북
A0012804,1629,SKE,스카이주유소,충북 충주시 금능동 12-9,충북 충주시 국원대로 272 (금릉동),393803.00000,488261.00000,충북
A0013418,1629,GSC,희망주유소,충북 충주시 안림동 1091,충북 충주시 금봉대로 398,395493.75057,485428.16498,충북
A0017389,1639,NHO,남청주농협주유소,충북 청주시 서원구 남이면 외천리 4-1,충북 청주시 서원구 남이면 청남로 1228,349694.00000,440101.00000,충북
A0033741,1639,HDO,(주)영덕 금릉주유소,충북 충주시 금릉동 265-1,충북 충주시 충원대로 737 (금릉동),392792.27617,487828.34181,충북
A0012417,1639,RTO,㈜상일주유소,충북 청주시 서원구 남이면 외천리 172-1,충청북도 청주시 서원구 남이면 청남로 1164,349318.00000,439624.00000,충북
A0006848,1639,GSC,㈜왕대박주유소,충북 충주시 산척면 영덕리 1636-1,충북 충주시 산척면 충원대로 1545,393916.00000,495492.00000,충북
A0013206,1639,NHO,충주농협주유소,충북 충주시 칠금동 420-52,충북 충주시 탄금대로 364,390754.13856,487306.53948,충북
A0013255,1639,GSC,대성산업(주) 충주주유소,충북 충주시 금릉동 280,충북 충주시 충원대로 725 (금릉동),392804.00000,487722.00000,충북
A0012016,1639,HDO,한양주유소,충북 청주시 서원구 남이면 척산리 280,충북 청주시 서원구 남이면 청남로 1309-18,350534.74460,440341.28460,충북
A0013504,1640,NHO,단양농협주유소,충북 단양군 단양읍 별곡리 28-4,충북 단양군 단양읍 삼봉로 368,432978.00000,487586.00000,충북
A0012720,1644,RTX,KIS정보통신㈜ 옥천(부산방향)주유소/충전소,충북 옥천군 옥천읍 매화리 236-16,충북 옥천군 옥천읍 서대구일로 265-19,363987.66766,410769.37473,충북
A0033598,1645,RTX,두성유통(주)문의휴게소(청주방향),충북 청주시 상당구 문의면 남계리 산59-6,충청북도 청주시 상당구 문의면 당진영덕고속도로 123,353948.78621,438269.16086,충북
A0032874,1645,RTX,(주)파리크라상 천등산(평택방향)주유소,충북 충주시 산청면 영덕리 산 2-38,충북 충주시 산척면 평택제천고속도로 109,399039.07859,497154.00664,충북
A0033599,1645,RTX,두성유통(주)문의휴게소(영덕방향),충북 청주시 상당구 문의면 남계리 656,충청북도 청주시 상당구 문의면 당진영덕고속도로 124,354092.76488,438062.34347,충북
A0032875,1645,RTX,(주)파리크라상 천등산(제천방향)주유소,충북 충주시 산척면 영덕리 산 182-46,충북 충주시 산척면 평택제천고속도로 106,394962.92909,495555.94736,충북
A0025443,1647,HDO,수재주유소,충북 충주시 교현동 446,충북 충주시 갱고개로 74 (교현동),394878.79200,486242.03970,충북
A0013008,1648,SOL,충주댐주유소,충북 충주시 목행동 602-5,충북 충주시 충원대로 976 (목행동),392750.51280,490090.02040,충북
A0012855,1649,SKE,연수주유소,충북 충주시 연수동 51-3,충북 충주시 금봉대로 524 (연수동),395404.80000,486668.10000,충북
A0012748,1649,GSC,대동주유소,충북 충주시 단월동 416-2,충북 충주시 충원대로 180,391333.95390,482561.86230,충북
A0015265,1622,SKE,우루사Self주유소,충남 당진시 신평면 운정리 714-1,충남 당진시 신평면 서해로 7522,294295.00000,476159.00000,충남
A0008392,1624,HDO,해바라기당진점,충남 당진시 송악읍 광명리 236-37,충남 당진시 송악읍 서해로 6622,285911.00000,477749.00000,충남
A0015572,1632,RTX,망향주유소 경부고속(부산방향),충남 천안시 성거읍 요방리 123-2,충남 천안시 서북구 성거읍 석문길 98,327151.91109,472792.60819,충남
A0016079,1632,SKE,천안삼거리(서울방향)충전소,충남 천안시 동남구 구성동 153-51,충남 천안시 동남구 쉼1길 40,326351.00000,465597.00000,충남
A0015335,1635,SOL,차사랑 내트럭주유소,충남 당진시 신평면 신흥리 442-25,충남 당진시 신평면 서해로 7279,291844.00000,476129.00000,충남
A0006910,1635,SKE,박카스self주유소,충남 당진시 신평면 부수리 344,충남 당진시 신평면 북부산업로 157,294033.75339,477785.29824,충남
A0000054,1635,RTX,풀무원푸드앤컬처공주상(당진)주유소,충남 공주시 의당면 청룡리 65-16,충남 공주시 의당면 당진영덕고속도로 71,325265.73795,433307.06593,충남
A0000053,1635,RTX,풀무원푸드앤컬처공주하(대전)주유소,충남 공주시 송선동 315-5,충남 공주시 당진영덕고속도로 72-1,325672.60517,433290.63506,충남
A0016526,1635,GSC,행운주유소,충남 당진시 신평면 신당리 259-12,충남 당진시 신평면 서해로 7475,293776.49303,476104.00669,충남
A0014658,1638,SKE,명품셀프주유소,충남 논산시 부창동 143-1,충남 논산시 계백로 896,317474.00000,399954.50000,충남
A0004009,1638,RTX,㈜케이알산업 입장(상)주유소/충전소,충남 천안시 서북구 입장면 가산리 361-7,충남 천안시 서북구 입장면 연곡길 407,328111.00000,482692.00000,충남
A0015156,1638,GSC,행복주유소,충남 당진시 신평면 신흥리 59-9,충남 당진시 신평면 서해로 7410,293086.46470,475980.09750,충남
A0014793,1638,HDO,(주)강변로주유소,충남 논산시 등화동 529-10,충남 논산시 강변로 46 (등화동),316471.00000,398472.00000,충남
A0016224,1639,GSC,(주)대성제2주유소,충남 천안시 동남구 신부동 115-32,충남 천안시 동남구 가마골1길 10 (신부동),325559.11593,469177.88704,충남
A0006842,1639,HDO,대성제5주유소,충남 천안시 동남구 구성동 314-11,충남 천안시 동남구 청수로 135 (구성동),325109.13460,466227.70430,충남
A0015671,1639,HDO,다온주유소,충남 천안시 동남구 청수동  231-11,충남 천안시 동남구 풍세로 930,324265.00285,465864.99545,충남
A0016305,1640,RTO,(유)대성주유소,충남 보령시 죽정동325,충남 보령시 대천로 254 (죽정동),275859.80000,419178.30000,충남
A0015196,1645,HDO,(주)아성통상 당진직영주유소,충남 당진시 정미면 대운산리 691-3,충남 당진시 정미면 서해로 4912,273848.60000,471627.90000,충남
A0014530,1646,SOL,우리둘셀프주유소,충남 논산시 부적면 외성리 344,충남 논산시 부적면 계백로 1645,324339.00000,401621.00000,충남
A0014749,1647,HDO,에코셀프주유소,충남 논산시 연산면 임리 34,충남 논산시 연산면 계백로 1853,326383.40550,401645.29104,충남
A0018988,1595,SOL,고산주유소,전북 고창군 신림면 무림리559,전북 고창군 신림면 고인돌대로 2430,282360.83740,322571.97050,전북
A0019034,1600,NHO,고창농협부안지점,전북 고창군 부안면 중흥리 229-9,전북 고창군 부안면 인촌로 1230,279957.00258,324834.99555,전북
A0019033,1600,NHO,고창농협주유소,전북 고창군 고창읍 읍내리 671-2,전북 고창군 고창읍 고인돌대로 1772,281534.00000,316177.00000,전북
A0019019,1605,SKE,새천년주유소,전북 고창군 신림면 자포리 723-3,전북 고창군 신림면 고인돌대로 2104,282072.04690,319360.82837,전북
A0018848,1613,SKE,상리2주유소,전북 전주시 덕진구 인후동2가 4-173,전북 전주시 덕진구 심방죽로 63 (인후동2가),323545.80000,360505.10000,전북
A0018274,1615,SOL,토다리주유소,전북 익산시 춘포면 춘포리605-1,전북 익산시 춘포면 춘포로 114,308501.80000,368603.00000,전북
A0019080,1618,RTO,삼양주유소,전북 김제시 백구면 영상리 331-1,전북 김제시 백구면 번영로 2876,309867.00000,364502.90000,전북
A0017776,1619,ETC,고덕주유소,전북 전주시 완산구 색장동 196,전북 전주시 완산구 동부대로 46 (색장동),327192.56930,355861.04680,전북
A0022751,1619,HDO,(주)한영 전주지점,전북 전주시 덕진구 반월동 851-4,전북 전주시 덕진구 번영로 480 (반월동),315280.40000,364150.40000,전북
A0018081,1619,ETC,오일스타㈜전주지점,전북 전주시 완산구 색장동 527,전북 전주시 완산구 춘향로 5006,327298.00000,354737.00000,전북
A0018249,1623,RTO,(유)백제주유소,전북 전주시 완산구 효자동3가 1155,전북 전주시 완산구 효자로 67-3 (효자동3가),318222.63609,358019.25946,전북
A0017471,1623,RTO,동군산셀프주유소,전북 군산시 대야면 복교리 463-8,전북 군산시 대야면 만경로 1767,294300.51620,370721.87100,전북
A0022703,1625,HDO,싼셀프주유소,전북 전주시 완산구 색장동 419,전북 전주시 완산구 춘향로 5190,326055.00000,355794.00000,전북
A0022666,1625,RTO,역전셀프주유소,전북 전주시 덕진구 우아동3가 570-1,전북 전주시 덕진구  동부대로 748 (우아동3가),324126.06770,362030.47794,전북
A0017680,1625,NHO,대야농협주유소,전북 군산시 대야면 지경리 726-16,전북 군산시 대야면 번영로 916,293026.53803,372330.42646,전북
A0018177,1625,HDO,색장주유소,전북 전주시 완산구 색장동 859-1,전북 전주시 완산구 춘향로 4860 (색장동),327778.00000,353372.00000,전북
A0022624,1625,RTO,팔복주유소,전북 전주시 덕진구 팔복동1가 140-6,전북 전주시 덕진구 기린대로 714,319290.00000,361988.00000,전북
A0019193,1625,RTO,현대주유소,전북 전주시 완산구 대성동 23-2,전북 전주시 완산구 춘향로 5197 (대성동),326046.30318,355746.82459,전북
A0017955,1625,RTO,행복주유소,전북 전주시 덕진구 우아동3가 258-5,전북 전주시 덕진구 동부대로 641 (우아동3가),324557.20000,361028.80000,전북
A0022674,1625,RTO,용머리주유소,전북 전주시 완산구 서완산동 184 외2필지,전북 전주시 완산구 용머리로 268 (서완산동1가),322349.30000,357063.10000,전북
A0021223,1599,RTO,(유)신도시주유소,전남 나주시 금천면 신가리 493-1,전남 나주시 금천면 빛가람장성로 2045,288563.00250,272458.99564,전남
