구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2023년10월28일,1994.53,1752.31,1679.05,1438.82
2023년10월29일,1994.26,1751.43,1678.57,1438.65
2023년10월30일,1994.60,1749.83,1678.22,1438.60
2023년10월31일,1992.51,1747.06,1676.81,1438.47
2023년11월01일,1990.57,1742.31,1674.06,1437.88
2023년11월02일,1987.93,1738.21,1671.90,1437.04
2023년11월03일,1984.63,1733.97,1669.63,1436.96
2023년11월04일,1981.67,1730.38,1667.34,1436.63
2023년11월05일,1980.80,1728.69,1666.35,1436.43
2023년11월06일,1980.49,1725.83,1665.02,1436.17
2023년11월07일,1977.02,1721.01,1662.30,1435.52
2023년11월08일,1973.14,1715.73,1659.13,1434.84
2023년11월09일,1969.14,1709.48,1654.42,1433.75
2023년11월10일,1963.87,1703.13,1649.54,1432.85
2023년11월11일,1960.96,1697.77,1644.71,1431.99
2023년11월12일,1959.89,1695.93,1642.90,1431.17
2023년11월13일,1958.93,1691.87,1639.77,1430.75
2023년11월14일,1954.23,1685.73,1634.11,1429.10
2023년11월15일,1950.74,1680.63,1629.52,1427.55
2023년11월16일,1946.37,1676.26,1625.31,1426.52
2023년11월17일,1943.10,1672.30,1620.97,1425.31
2023년11월18일,1940.07,1668.84,1617.47,1424.00
2023년11월19일,1939.18,1667.51,1615.80,1423.52
2023년11월20일,1938.82,1664.78,1613.14,1422.59
2023년11월21일,1934.95,1659.12,1606.50,1420.70
2023년11월22일,1932.75,1656.54,1604.08,1419.86
2023년11월23일,1929.23,1652.96,1599.59,1418.74
2023년11월24일,1926.52,1649.56,1595.82,1417.55
2023년11월25일,1923.00,1647.05,1592.69,1416.38
2023년11월26일,1922.67,1645.97,1590.93,1415.76
2023년11월27일,1922.48,1643.95,1588.73,1414.84
2023년11월28일,1919.75,1641.03,1584.98,1413.76
2023년11월29일,1916.51,1638.49,1581.53,1412.52
2023년11월30일,1914.72,1636.75,1578.74,1411.48
2023년12월01일,1912.35,1634.18,1575.30,1410.30
2023년12월02일,1909.92,1632.42,1572.74,1409.43
2023년12월03일,1909.46,1631.71,1571.37,1408.77
2023년12월04일,1908.65,1629.96,1568.98,1407.49
2023년12월05일,1904.61,1626.70,1564.05,1406.13
2023년12월06일,1901.83,1623.79,1559.64,1404.62
2023년12월07일,1898.97,1620.78,1554.89,1403.03
2023년12월08일,1895.31,1617.44,1550.00,1401.42
2023년12월09일,1892.38,1614.50,1545.93,1400.22
2023년12월10일,1891.79,1613.41,1544.09,1399.79
2023년12월11일,1891.09,1611.22,1540.52,1398.63
2023년12월12일,1886.68,1606.83,1534.59,1396.29
2023년12월13일,1882.50,1602.56,1529.15,1394.04
2023년12월14일,1880.17,1599.08,1524.42,1392.15
2023년12월15일,1877.09,1595.98,1520.04,1390.20
2023년12월16일,1874.27,1593.35,1516.46,1387.51
2023년12월17일,1873.89,1592.50,1515.14,1386.57
2023년12월18일,1873.62,1590.61,1512.61,1385.08
2023년12월19일,1871.34,1587.97,1508.88,1382.34
2023년12월20일,1869.57,1586.30,1506.42,1380.51
2023년12월21일,1869.01,1585.23,1504.71,1378.85
2023년12월22일,1867.96,1584.81,1503.91,1378.27
2023년12월23일,1866.11,1584.02,1502.55,1377.41
2023년12월24일,1865.77,1583.69,1501.79,1376.88
2023년12월25일,1866.63,1583.53,1501.33,1376.28
2023년12월26일,1866.41,1582.63,1500.25,1376.05
2023년12월27일,1865.52,1581.89,1499.03,1375.26
2023년12월28일,1864.72,1581.22,1498.23,1373.90
2023년12월29일,1864.05,1580.53,1497.25,1373.24
2023년12월30일,1862.62,1579.61,1495.66,1372.59
2023년12월31일,1862.17,1579.31,1495.21,1372.27
2024년01월01일,1862.82,1578.54,1493.91,1371.40
2024년01월02일,1862.40,1577.46,1492.73,1370.70
2024년01월03일,1861.02,1575.89,1490.43,1369.50
2024년01월04일,1859.51,1574.52,1488.53,1368.20
2024년01월05일,1858.96,1573.43,1487.12,1367.12
2024년01월06일,1856.82,1572.33,1485.60,1366.20
2024년01월07일,1856.56,1572.02,1484.93,1365.53
2024년01월08일,1857.02,1571.71,1484.69,1364.86
2024년01월09일,1855.84,1570.46,1482.92,1363.39
2024년01월10일,1854.85,1569.02,1481.13,1362.73
2024년01월11일,1853.08,1567.64,1479.42,1361.50
2024년01월12일,1851.73,1566.47,1477.97,1360.31
2024년01월13일,1850.03,1565.39,1476.52,1359.16
2024년01월14일,1850.05,1565.13,1475.79,1358.72
2024년01월15일,1850.41,1564.94,1475.69,1357.98
2024년01월16일,1850.24,1564.38,1474.92,1357.50
2024년01월17일,1849.68,1563.41,1473.81,1356.19
2024년01월18일,1849.51,1563.03,1473.13,1355.71
2024년01월19일,1848.98,1562.66,1472.88,1355.29
2024년01월20일,1847.45,1562.40,1472.23,1354.54
2024년01월21일,1847.70,1562.41,1471.83,1354.41
2024년01월22일,1848.98,1562.78,1472.33,1354.06
2024년01월23일,1849.34,1563.30,1472.73,1353.81
2024년01월24일,1849.69,1564.19,1473.44,1353.84
2024년01월25일,1850.30,1565.87,1474.84,1353.81
2024년01월26일,1851.02,1567.91,1476.59,1353.85
2024년01월27일,1851.88,1570.95,1479.00,1354.35
2024년01월28일,1852.66,1572.19,1479.93,1354.39
2024년01월29일,1855.41,1575.09,1482.78,1354.46
2024년01월30일,1859.17,1578.88,1485.69,1354.99
2024년01월31일,1863.69,1582.27,1488.71,1355.06
2024년02월01일,1868.35,1586.46,1492.46,1355.68
2024년02월02일,1869.89,1589.01,1494.65,1356.38
2024년02월03일,1869.94,1591.03,1496.17,1356.67
2024년02월04일,1870.61,1592.01,1496.80,1356.71
2024년02월05일,1873.32,1594.10,1498.80,1357.08
2024년02월06일,1874.17,1596.46,1501.49,1358.01
2024년02월07일,1874.35,1598.37,1503.02,1358.25
2024년02월08일,1875.38,1600.73,1504.95,1358.43
2024년02월09일,1876.35,1603.53,1507.24,1358.74
2024년02월10일,1876.29,1604.84,1508.21,1359.06
2024년02월11일,1875.98,1605.81,1508.97,1359.17
2024년02월12일,1876.51,1606.65,1509.79,1359.09
2024년02월13일,1877.78,1608.44,1511.70,1359.17
2024년02월14일,1880.08,1611.70,1514.78,1359.57
2024년02월15일,1881.77,1614.90,1517.99,1360.06
2024년02월16일,1883.33,1618.00,1521.15,1361.15
2024년02월17일,1885.15,1620.92,1523.81,1361.77
2024년02월18일,1886.27,1622.32,1524.81,1361.91
